Customer Code,Capacity in KW,State,District,Latitude,Longitude,Total Cost (Rs),CFA (Rs),Commissioning Date(installation date),Approval Number,Financial Year,Installed by Agency
44431,1.00,HARYANA,Faridabad,28.4089123,77.317789400000,0,0.00,30-06-2017,---,---,EDGE MOTON CONTROLS PVT LTD
44417,10.00,GUJARAT,Vadodara,22.315904106147,73.118381649255,690000,207000.00,15-07-2016,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44405,2.00,GUJARAT,Bharuch,21.704203399999,72.982666800000,138000,41400.00,08-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44401,2.00,GUJARAT,Bharuch,21.6264236,73.015198400000,138000,41400.00,16-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44399,2.00,GUJARAT,Bharuch,21.7142143,73.031672699999,138000,41400.00,18-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44398,2.00,GUJARAT,Ahmadabad,23.024349,72.530152,138000,48000.00,20-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44395,2.00,GUJARAT,Bharuch,21.7142143,73.031672699999,138000,41400.00,18-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44390,3.00,GUJARAT,Bharuch,22.0526258,72.788767799999,207000,62100.00,31-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44388,2.00,GUJARAT,Bharuch,21.7175081,73.008057600000,138000,41400.00,06-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44339,20.00,MAHARASHTRA,Nagpur,21.080976328135,79.231681823730,0,0.00,25-07-2017,---,---,Gurukrupa Solar Trading Corporation
44306,3.00,GUJARAT,Vadodara,22.312771,73.258844,207000,62100.00,21-04-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44303,2.00,GUJARAT,Vadodara,22.338646,73.189537,138000,41400.00,22-04-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44299,2.00,GUJARAT,Vadodara,22.318874,73.139386,138000,41400.00,03-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44297,3.00,GUJARAT,Surat,21.264388,72.951962,207000,72000.00,06-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44296,1.00,GUJARAT,Rajkot,22.272696,70.740636,69000,20700.00,02-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44292,1.00,GUJARAT,Rajkot,22.296405,70.794156,69000,24000.00,18-04-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44290,2.50,GUJARAT,Rajkot,22.272696,70.740636,172500,60000.00,01-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44283,5.00,GUJARAT,Rajkot,22.285982,70.712015,345000,103500.00,08-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44280,2.00,GUJARAT,Rajkot,22.303010,70.895234,138000,41400.00,18-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44276,2.00,GUJARAT,Morbi,22.550622,70.954680,138000,48000.00,20-05-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44272,2.00,GUJARAT,Kheda,22.687761,72.881086,138000,48000.00,11-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44269,2.00,GUJARAT,Junagadh,21.465693,70.449142,138000,41400.00,25-04-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44264,5.00,GUJARAT,Junagadh,21.512819,70.461043,345000,103500.00,04-04-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44257,2.00,GUJARAT,Junagadh,21.440189,70.189860,138000,41400.00,11-04-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44255,5.00,MAHARASHTRA,Nashik,20.5483527,74.527286199999,310000,0.00,30-06-2017,---,---,JADHAV POWERTECH
44252,2.00,GUJARAT,Junagadh,21.440189,70.189860,138000,48000.00,11-04-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44251,1.00,GUJARAT,Junagadh,21.440189,70.189860,69000,20700.00,11-04-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
44250,5.00,GUJARAT,Jamnagar,22.418756,69.022512,345000,103500.00,06-04-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
